# mid_span_displacement  compressive_load
1.156516775445928097e-02 9.477375140001590955e-04
1.330528412381573079e-02 1.875769191268646325e-03
1.566863670104956183e-02 2.804738286056067051e-03
1.906304055834274341e-02 3.731814932608021589e-03
2.434972417455885663e-02 4.656179659043320658e-03
3.370704776787229739e-02 5.576680011528873868e-03
5.455802272917364970e-02 6.488104184315599855e-03
1.275387564710907529e-01 7.332774363539020304e-03
3.218428777523120177e-01 7.731274902056935010e-03
4.876931962606228521e-01 7.831513862957944702e-03
6.164509741706074575e-01 7.875804606409212913e-03
7.241315420308509498e-01 7.902230597056138575e-03
8.183001337860942304e-01 7.920299655277360587e-03
9.029181500461327392e-01 7.933734209798539230e-03
9.803480873531806861e-01 7.944299884949100263e-03
1.052122416752013567e+00 7.952960518069564916e-03
