# mid_span_displacement  compressive_load
1.156516775445936077e-02 9.477375140001592039e-04
1.330528412381586437e-02 1.875769191268647409e-03
1.566863670104992265e-02 2.804738286056064882e-03
1.906304055834307301e-02 3.731814932608032865e-03
2.434972417455969623e-02 4.656179659043317189e-03
3.370704776787364354e-02 5.576680011528871266e-03
5.455802272917455176e-02 6.488104184315599855e-03
1.275387564709923871e-01 7.332774363539140000e-03
3.218428777523029138e-01 7.731274902056961031e-03
4.876931962606338433e-01 7.831513862957871844e-03
6.164509741705980206e-01 7.875804606409238934e-03
7.241315420308492845e-01 7.902230597056121228e-03
8.183001337860963398e-01 7.920299655277365791e-03
9.029181500461339605e-01 7.933734209798537496e-03
9.803480873531794648e-01 7.944299884949067303e-03
1.052122416752013567e+00 7.952960518069559712e-03
